size,cutoff,max_neighborlist_size,rdkit_time_ms,rdkit_std_ms,nvmol_time_ms,nvmol_std_ms
1000,0.1,64,4.612684333333333,0.12418446669460002,2.2932683333333337,0.3316359474969839
1000,0.2,64,5.56933,0.042014438684814054,0.2753446666666667,0.015141069124147814
1000,0.35,64,7.014310333333333,0.1903354647796592,0.325525,0.007235039368701919
5000,0.1,64,77.788759,0.8218889211821753,0.34582,0.01247140796649146
5000,0.2,64,153.14212766666665,36.871421185688526,0.4083946666666667,0.009636665029401453
5000,0.35,64,164.51574666666664,1.1553906527884363,0.7100996666666666,0.009325509113298975
10000,0.1,64,334.24365166666666,38.33827070059583,1.1381453333333333,0.07967185616152182
10000,0.2,64,633.5300483333334,68.06797701346389,1.374048,0.006698903989957362
10000,0.35,64,741.1867566666666,59.30394615378466,2.054540333333333,0.011095587120813192
20000,0.1,64,1376.6880576666667,69.67370493529937,3.3809756666666666,0.0035562111235914492
20000,0.2,64,2583.7319736666664,54.57197220805098,4.051424,0.014126042073654838
20000,0.35,64,2938.2300086666664,51.10841736449044,5.521191333333333,0.015515069713740321
30000,0.1,64,3207.5569366666664,70.94834748172643,7.315847666666667,0.06676615731707862
30000,0.2,64,6243.269298,152.4126228852022,8.146311333333333,0.01877154061042644
30000,0.35,64,6938.581677666667,42.5936059251909,11.305590666666665,0.009808108017802868
40000,0.1,64,5953.922159,38.77674544944253,12.733648333333335,0.015139319146587213
40000,0.2,64,11523.929315333335,376.66434141966243,14.112564,0.01576896217257179
40000,0.35,64,12755.172470333335,201.29803256868212,18.69747733333333,0.03630740743827475
50000,0.1,64,9219.12123,175.07031664347016,20.216310333333332,0.13134161549773765
50000,0.2,64,19128.84884166667,530.6985369188126,21.646670333333333,0.007468989103099711
50000,0.35,64,20708.495444666667,330.50821263870245,29.103476333333333,0.3741094604794461
60000,0.1,64,15169.836032333335,186.30090518100104,28.413533333333334,0.12300618747941999
60000,0.2,64,29673.975552666667,1554.7704252095998,30.99058733333333,0.04283917996673399
60000,0.35,64,31220.63062333333,790.780058796772,40.872306,0.06809628084313171
1000,0.1,128,0.0,0.0,2.254866,0.2614617322821831
1000,0.2,128,0.0,0.0,2.1126753333333337,0.03776623086244582
1000,0.35,128,0.0,0.0,2.1170143333333336,0.015484732444859643
5000,0.1,128,0.0,0.0,1.486553,0.07986596823845979
5000,0.2,128,0.0,0.0,1.509316,0.00800278114157822
5000,0.35,128,0.0,0.0,1.8134566666666667,0.005770184591693946
10000,0.1,128,0.0,0.0,2.100729,0.015248807756673963
10000,0.2,128,0.0,0.0,2.3328796666666665,0.014827424418586286
10000,0.35,128,0.0,0.0,2.9096863333333336,0.012156450971489262
20000,0.1,128,0.0,0.0,3.9103086666666664,0.03838380764795952
20000,0.2,128,0.0,0.0,4.630681666666667,0.010238803847238319
20000,0.35,128,0.0,0.0,5.966952333333333,0.013085940198888611
30000,0.1,128,0.0,0.0,7.740543333333333,0.09857173584868141
30000,0.2,128,0.0,0.0,8.691621333333334,0.00847975771404401
30000,0.35,128,0.0,0.0,12.118588,0.0096774793205669
40000,0.1,128,0.0,0.0,13.155394666666666,0.04022862929418412
40000,0.2,128,0.0,0.0,14.572190333333333,0.03121638169651028
40000,0.35,128,0.0,0.0,18.92047033333333,0.09307682823106701
50000,0.1,128,0.0,0.0,20.06701466666667,0.014409246691698432
50000,0.2,128,0.0,0.0,21.997744333333333,0.05444018384939158
50000,0.35,128,0.0,0.0,27.39144566666667,0.18446245575063658


