size,cutoff,max_neighborlist_size,rdkit_time_ms,rdkit_std_ms,nvmol_time_ms,nvmol_std_ms
5000,0.1,8,57.791156,0.0,1.585027,0.0
5000,0.1,16,57.791156,0.0,0.327142,0.0
5000,0.1,32,57.791156,0.0,0.320343,0.0
5000,0.1,64,57.791156,0.0,0.329658,0.0
5000,0.1,128,57.791156,0.0,0.328336,0.0
5000,0.2,8,90.848696,0.0,0.749114,0.0
5000,0.2,16,90.848696,0.0,0.504644,0.0
5000,0.2,32,90.848696,0.0,0.384667,0.0
5000,0.2,64,90.848696,0.0,0.37863,0.0
5000,0.2,128,90.848696,0.0,0.391469,0.0
5000,0.35,8,119.136432,0.0,2.084419,0.0
5000,0.35,16,119.136432,0.0,1.04032,0.0
5000,0.35,32,119.136432,0.0,0.716269,0.0
5000,0.35,64,119.136432,0.0,0.700908,0.0
5000,0.35,128,119.136432,0.0,0.715014,0.0
10000,0.1,8,237.970346,0.0,1.543973,0.0
10000,0.1,16,237.970346,0.0,1.08674,0.0
10000,0.1,32,237.970346,0.0,1.082537,0.0
10000,0.1,64,237.970346,0.0,1.095692,0.0
10000,0.1,128,237.970346,0.0,1.103161,0.0
10000,0.2,8,408.169415,0.0,3.353157,0.0
10000,0.2,16,408.169415,0.0,1.745933,0.0
10000,0.2,32,408.169415,0.0,1.357196,0.0
10000,0.2,64,408.169415,0.0,1.364879,0.0
10000,0.2,128,408.169415,0.0,1.422229,0.0
10000,0.35,8,529.363243,0.0,11.423073,0.0
10000,0.35,16,529.363243,0.0,4.407538,0.0
10000,0.35,32,529.363243,0.0,2.119879,0.0
10000,0.35,64,529.363243,0.0,1.904012,0.0
10000,0.35,128,529.363243,0.0,2.102269,0.0
20000,0.1,8,1003.507769,0.0,4.716233,0.0
20000,0.1,16,1003.507769,0.0,3.498641,0.0
20000,0.1,32,1003.507769,0.0,3.561766,0.0
20000,0.1,64,1003.507769,0.0,3.568427,0.0
20000,0.1,128,1003.507769,0.0,3.56644,0.0
20000,0.2,8,1846.693397,0.0,11.808902,0.0
20000,0.2,16,1846.693397,0.0,5.088576,0.0
20000,0.2,32,1846.693397,0.0,4.213491,0.0
20000,0.2,64,1846.693397,0.0,4.172125,0.0
20000,0.2,128,1846.693397,0.0,4.312201,0.0
20000,0.35,8,2077.123344,0.0,61.059064,0.0
20000,0.35,16,2077.123344,0.0,19.299009,0.0
20000,0.35,32,2077.123344,0.0,6.56295,0.0
20000,0.35,64,2077.123344,0.0,5.641844,0.0
20000,0.35,128,2077.123344,0.0,5.648269,0.0
30000,0.1,8,2421.652411,0.0,12.216683,0.0
30000,0.1,16,2421.652411,0.0,7.786887,0.0
30000,0.1,32,2421.652411,0.0,7.770391,0.0
30000,0.1,64,2421.652411,0.0,7.805045,0.0
30000,0.1,128,2421.652411,0.0,7.831761,0.0
30000,0.2,8,4556.996522,0.0,33.669386,0.0
30000,0.2,16,4556.996522,0.0,12.741617,0.0
30000,0.2,32,4556.996522,0.0,8.610369,0.0
30000,0.2,64,4556.996522,0.0,8.730188,0.0
30000,0.2,128,4556.996522,0.0,8.775586,0.0
30000,0.35,8,5445.046167,0.0,181.056612,0.0
30000,0.35,16,5445.046167,0.0,54.687818,0.0
30000,0.35,32,5445.046167,0.0,15.609274,0.0
30000,0.35,64,5445.046167,0.0,11.852022,0.0
30000,0.35,128,5445.046167,0.0,11.961679,0.0
40000,0.1,8,4926.828167,0.0,21.377893,0.0
40000,0.1,16,4926.828167,0.0,14.385119,0.0
40000,0.1,32,4926.828167,0.0,13.655577,0.0
40000,0.1,64,4926.828167,0.0,13.743421,0.0
40000,0.1,128,4926.828167,0.0,13.780576,0.0
40000,0.2,8,9773.153894,0.0,73.021388,0.0
40000,0.2,16,9773.153894,0.0,24.717263,0.0
40000,0.2,32,9773.153894,0.0,15.048574,0.0
40000,0.2,64,9773.153894,0.0,15.104867,0.0
40000,0.2,128,9773.153894,0.0,15.132587,0.0
40000,0.35,8,10568.923207,0.0,421.223858,0.0
40000,0.35,16,10568.923207,0.0,126.588298,0.0
40000,0.35,32,10568.923207,0.0,30.226484,0.0
40000,0.35,64,10568.923207,0.0,19.436464,0.0
40000,0.35,128,10568.923207,0.0,19.257845,0.0
50000,0.1,8,7658.684935,0.0,37.415225,0.0
50000,0.1,16,7658.684935,0.0,22.298941,0.0
50000,0.1,32,7658.684935,0.0,21.259606,0.0
50000,0.1,64,7658.684935,0.0,21.269046,0.0
50000,0.1,128,7658.684935,0.0,21.282925,0.0
50000,0.2,8,15650.21943,0.0,134.959298,0.0
50000,0.2,16,15650.21943,0.0,43.333154,0.0
50000,0.2,32,15650.21943,0.0,22.847341,0.0
50000,0.2,64,15650.21943,0.0,22.884858,0.0
50000,0.2,128,15650.21943,0.0,23.013444,0.0
50000,0.35,8,17798.615921,0.0,833.014635,0.0
50000,0.35,16,17798.615921,0.0,259.115236,0.0
50000,0.35,32,17798.615921,0.0,56.071978,0.0
50000,0.35,64,17798.615921,0.0,29.909443,0.0
50000,0.35,128,17798.615921,0.0,28.163861,0.0
