size,cutoff,speedup,best_neighborlist_size
5000,0.1,141.5344462300984,128
5000,0.2,197.8444528825916,64
5000,0.35,173.41594363454894,32
10000,0.1,199.0815957973518,32
10000,0.2,297.3456215573769,32
10000,0.35,290.4836524870524,64
20000,0.1,285.30913179691004,16
20000,0.2,453.9993663994341,32
20000,0.35,410.52114170758534,128
30000,0.1,311.76623817879647,32
30000,0.2,560.0770853780186,32
30000,0.35,529.3237717704831,64
40000,0.1,367.56809732138316,32
40000,0.2,687.905921664622,32
40000,0.35,613.4358493964556,128
50000,0.1,360.9395550973716,32
50000,0.2,722.7467701603662,32
50000,0.35,653.9765411339179,128
